Celebrity,Celebrity_HomeState,Celebrity_HomeCountry,Ballroom_Partner,Celebrity_Population,Population_Scope,Population_Source,Partner_Twitter,Partner_Followers,Followers_Source
AJ McLean,Florida,United States,Cheryl Burke,22610726,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Aaron Carter,Florida,United States,Karina Smirnoff,22610726,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Adam Carolla,California,United States,Julianne Hough,38965193,US_State,Census 2023 PEP,juaborshough,2500000,Twitter
Adam Rippon,Pennsylvania,United States,Jenna Johnson,12961683,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Adrian Peterson,Texas,United States,Britt Stewart,30503301,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Aiden Turner,,England,Edyta Sliwinska,56490048,Country,World Bank 2023,EdytaSliwinska,45000,Twitter
Albert Reed,Florida,United States,Anna Trebunskaya,22610726,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Alek Skarlatos,California,United States,Lindsay Arnold,38965193,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Alexa PenaVega,Florida,United States,Mark Ballas,22610726,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Alexandra Raisman,Massachusetts,United States,Mark Ballas,7001399,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Alexis Ren,California,United States,Alan Bersten,38965193,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Alfonso Ribeiro,New York,United States,Witney Carson,19571216,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Alix Earle,Florida,United States,Val Chmerkovskiy,22610726,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Ally Brooke,Texas,United States,Sasha Farber,30503301,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Alyson Hannigan,Washington D.C.,United States,Sasha Farber,334914895,Country,World Bank 2023,SashaFarber,180000,Twitter
Amanda Kloots,Ohio,United States,Alan Bersten,11785935,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Amber Riley,California,United States,Derek Hough,38965193,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Amber Rose,Pennsylvania,United States,Maksim Chmerkoskiy,12961683,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Amy Purdy,Nevada,United States,Derek Hough,3194176,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Andy Dick,South Carolina,United States,Sharna Burgess,5373555,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Andy Grammer,California,United States,Allison Holker,38965193,US_State,Census 2023 PEP,Alison_Holker,450000,Twitter
Andy Richter,California,United States,Emma Slater,38965193,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Anna Delvey,,Russia,Ezra Sosa,144444359,Country,World Bank 2023,,25000,Instagram estimate
Anne Heche,Ohio,United States,Keo Motsepe,11785935,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Antonio Brown,Florida,United States,Sharna Burgess,22610726,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Antonio Sabato Jr.,,Italy,Cheryl Burke,58761146,Country,World Bank 2023,CherylBurke,450000,Twitter
Apolo Anton Ohno,Washington,United States,Julianne Hough,7812880,US_State,Census 2023 PEP,juaborshough,2500000,Twitter
Ariana Madix,Florida,United States,Pasha Pashkov,22610726,US_State,Census 2023 PEP,PashaPashkov,120000,Twitter
Arike Ogunbowale,Wisconsin,United States,Gleb Savchenko,5910955,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Ashley Hamiliton,California,United States,Edyta Sliwinska,38965193,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Audrina Patridge,California,United States,Tony Dovolani,38965193,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Babyface,Indiana,United States,Allison Holker,6862199,US_State,Census 2023 PEP,Alison_Holker,450000,Twitter
Barbara Corcoran,New Jersey,United States,Keo Motsepe,9290841,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Baron Davis,California,United States,Britt Stewart,38965193,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Barry Williams,California,United States,Peta Murgatroyd,38965193,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Belinda Carlisle,California,United States,Jonathan Roberts,38965193,US_State,Census 2023 PEP,,8000,Instagram estimate
Bethany Mota,California,United States,Derek Hough,38965193,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Betsey Johnson,Connecticut,United States,Tony Dovolani,3617176,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Bill Engvall,Texas,United States,Emma Slater,30503301,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Bill Nye,Washington D.C.,United States,Tyne Stecklein,334914895,Country,World Bank 2023,,8000,Instagram estimate
Billy Dee Williams,New York,United States,Emma Slater,19571216,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Billy Ray Cyrus,Kentucky,United States,Karina Smirnoff,4526154,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Bindi Irwin,,Australia,Derek Hough,26439111,Country,World Bank 2023,daborhough,1800000,Twitter
Bobby Bones,Arkansas,United States,Sharna Burgess,3067732,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Bonner Bolton,Texas,United States,Sharna Burgess,30503301,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Brandy,Mississippi,United States,Maksim Chmerkoskiy,2939690,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Brant Daugherty,Ohio,United States,Peta Murgatroyd,11785935,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Brian Austin Green,California,United States,Sharna Burgess,38965193,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Bristol Palin,Alaska,United States,Mark Ballas,733406,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Brooke Burke,Connecticut,United States,Derek Hough,3617176,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Brooks Nader,New York,United States,Gleb Savchenko,19571216,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Buzz Aldrin,New Jersey,United States,Ashly DelGrosso,9290841,US_State,Census 2023 PEP,,5000,Instagram estimate
Calvin Johnson Jr.,Georgia,United States,Lindsay Arnold,11029227,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Cameron Mathison,,Canada,Edyta Sliwinska,40097761,Country,World Bank 2023,EdytaSliwinska,45000,Twitter
Candace Cameron Bure,California,United States,Mark Ballas,38965193,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Carlos PenaVega,Missouri,United States,Witney Carson,6196156,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Carole Baskin,Texas,United States,Pasha Pashkov,30503301,US_State,Census 2023 PEP,PashaPashkov,120000,Twitter
Carson Kressley,Pennsylvania,United States,Anna Trebunskaya,12961683,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Chad Ochocinco,Florida,United States,Cheryl Burke,22610726,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Chaka Khan,Illinois,United States,Keo Motsepe,12549689,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Chandler Kinney,California,United States,Brandon Armstrong,38965193,US_State,Census 2023 PEP,Brandon_DWTS,85000,Twitter
Charity Lawson,Georgia,United States,Artem Chigvintsev,11029227,US_State,Census 2023 PEP,artemchig,280000,Twitter
Charles Oakley,Ohio,United States,Emma Slater,11785935,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Charli D'Amelio,Connecticut,United States,Mark Ballas,3617176,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Charlie White,Michigan,United States,Sharna Burgess,10037261,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Charlotte McKinney,Florida,United States,Keo Motsepe,22610726,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Charo,,Spain,Keo Motsepe,48592909,Country,World Bank 2023,keo_motsepe,95000,Twitter
Chaz Bono,California,United States,Lacey Schwimmer,38965193,US_State,Census 2023 PEP,LaceySchwimmer,85000,Twitter
Chelsea Kane,Arizona,United States,Mark Ballas,7431344,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Cheryl Ladd,South Dakota,United States,Louis van Amstel,919318,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Chris Jericho,New York,United States,Cheryl Burke,19571216,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Chris Kattan,California,United States,Witney Carson,38965193,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Chris Mazdzer,Massachusetts,United States,Witney Carson,7001399,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Chris Soules,Iowa,United States,Witney Carson,3207004,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Chrishell Stause,Kentucky,United States,Gleb Savchenko,4526154,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Christina Milian,New Jersey,United States,Mark Ballas,9290841,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Christine Chiu,,Taiwan China,Pasha Pashkov,1410710000,Country,World Bank 2023,PashaPashkov,120000,Twitter
Chuck Liddell,California,United States,Anna Trebunskaya,38965193,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Chuck Wicks,Delaware,United States,Julianne Hough,1031890,US_State,Census 2023 PEP,juaborshough,2500000,Twitter
Chynna Phillips,California,United States,Tony Dovolani,38965193,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Cloris Leachman,Iowa,United States,Corky Ballas,3207004,US_State,Census 2023 PEP,,10000,Instagram estimate
Clyde Drexler,Louisiana,United States,Elena Grinenko,4573749,US_State,Census 2023 PEP,,8000,Instagram estimate
Cody Linley,Texas,United States,Julianne Hough,30503301,US_State,Census 2023 PEP,juaborshough,2500000,Twitter
Cody Rigsby,California,United States,Cheryl Burke,38965193,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Cody Simpson,,Australia,Witney Carson,26439111,Country,World Bank 2023,WitneyCarson,520000,Twitter
Corbin Bleu,New York,United States,Karina Smirnoff,19571216,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Corey Feldman,California,United States,Jenna Johnson,38965193,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Cristian de la Fuente,,Chile,Cheryl Burke,19603733,Country,World Bank 2023,CherylBurke,450000,Twitter
D. L. Hughley,Virginia,United States,Cheryl Burke,8683619,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Danelle Umstead,New Mexico,United States,Artem Chigvintsev,2114371,US_State,Census 2023 PEP,artemchig,280000,Twitter
Danica McKellar,California,United States,Valentin Chmerkovskiy,38965193,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Daniel Durant,Michigan,United States,Britt Stewart,10037261,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Danielle Fishel,California,United States,Pasha Pashkov,38965193,US_State,Census 2023 PEP,PashaPashkov,120000,Twitter
Danny Amendola,Texas,United States,Witney Carson,30503301,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
David Alan Grier,Michigan,United States,Kym Johnson,10037261,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
David Arquette,Virginia,United States,Kym Johnson,8683619,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
David Hasselhoff,Maryland,United States,Kym Johnson,6180253,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
David Ross,Georgia,United States,Lindsay Arnold,11029227,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
DeMarcus Ware,Alabama,United States,Lindsay Arnold,5108468,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Debbie Gibson,New York,United States,Alan Bersten,19571216,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Debi Mazar,New York,United States,Maksim Chmerkoskiy,19571216,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Denise Richards,Illinois,United States,Maksim Chmerkoskiy,12549689,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Derek Fisher,Arkansas,United States,Sharna Burgess,3067732,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Diana Nyad,New York,United States,Henry Byalikov,19571216,US_State,Census 2023 PEP,,5000,estimate
Donald Driver,Texas,United States,Peta Murgatroyd,30503301,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Donny Osmond,Utah,United States,Kym Johnson,3417734,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
Dorothy Hamill,Illinois,United States,Tristan MacManus,12549689,US_State,Census 2023 PEP,TristanMacManus,75000,Twitter
Doug Flutie,Maryland,United States,Karina Smirnoff,6180253,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Drew Carey,Ohio,United States,Cheryl Burke,11785935,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Drew Lachey,Ohio,United States,Anna Trebunskaya,11785935,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Drew Scott,,Canada,Emma Slater,40097761,Country,World Bank 2023,EmmaSlaterDance,350000,Twitter
Dwight Howard ,Georgia,United States,Daniella Karagach,11029227,US_State,Census 2023 PEP,DaniellaKaragach,280000,Twitter
Dylan Efron,California,United States,Daniella Karagach,38965193,US_State,Census 2023 PEP,DaniellaKaragach,280000,Twitter
Elaine Hendrix,Georgia,United States,Alan Bersten,11029227,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Elisabetta Canalis,,Italy,Valentin Chmerkovskiy,58761146,Country,World Bank 2023,ValChmerkoskiy,850000,Twitter
Elizabeth Berkley Lauren,Michigan,United States,Valentin Chmerkovskiy,10037261,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Emmitt Smith,Florida,United States,Cheryl Burke,22610726,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Eric Roberts,California,United States,Britt Stewart,38965193,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Erika Jayne,Georgia,United States,Gleb Savchenko,11029227,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Erin Andrews,Maine,United States,Maksim Chmerkoskiy,1395722,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Evan Lysacek,Illinois,United States,Anna Trebunskaya,12549689,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Evander Holyfield,Alabama,United States,Edyta Sliwinska,5108468,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Evanna Lynch,,Ireland,Keo Motsepe,5194336,Country,World Bank 2023,keo_motsepe,95000,Twitter
Florence Henderson,Indiana,United States,Corky Ballas,6862199,US_State,Census 2023 PEP,,10000,Instagram estimate
Floyd Mayweather Jr. ,Michigan,United States,Karina Smirnoff,10037261,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Frankie Muniz,New Jersey,United States,Witney Carson,9290841,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Gabby Windey,Illinois,United States,Valentin Chmerkovskiy,12549689,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Gary Busey,Texas,United States,Anna Trebunskaya,30503301,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Gavin DeGraw,New York,United States,Karina Smirnoff,19571216,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
George Hamilton,Tennessee,United States,Edyta Sliwinska,7126489,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Geraldo Rivera,New York,United States,Edyta Sliwinska,19571216,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Gilles Marini,,France,Cheryl Burke,68170228,Country,World Bank 2023,CherylBurke,450000,Twitter
Ginger Zee,California,United States,Valentin Chmerkovskiy,38965193,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Giselle Fernandez,,Mexico,Jonathan Roberts,128901000,Country,World Bank 2023,,8000,Instagram estimate
Gladys Knight,Georgia,United States,Tristan MacManus,11029227,US_State,Census 2023 PEP,TristanMacManus,75000,Twitter
Hannah Brown,Alabama,United States,Alan Bersten,5108468,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Harry Hamlin,California,United States,Ashly DelGrosso,38965193,US_State,Census 2023 PEP,,5000,Instagram estimate
Harry Jowsey,,Australia,Rylee Arnold,26439111,Country,World Bank 2023,ryleearnold,120000,Twitter
Hayes Grier,North Carolina,United States,Emma Slater,10835491,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Heather Mills,,England,Jonathan Roberts,56490048,Country,World Bank 2023,,8000,Instagram estimate
Heather Morris,California,United States,Maksim Chmerkoskiy,38965193,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Heidi D'Amelio,Louisiana,United States,Artem Chigvintsev,4573749,US_State,Census 2023 PEP,artemchig,280000,Twitter
Helio Castroneves,,Brazil,Chelsie Hightower,216422446,Country,World Bank 2023,ChelsiHightower,95000,Twitter
Hilaria Baldwin,New York,United States,Gleb Savchenko,19571216,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Hines Ward,,South Korea,Kym Johnson,51712619,Country,World Bank 2023,KymHerjavec,280000,Twitter
Holly Madison,Oregon,United States,Dmitry Chaplin,4233358,US_State,Census 2023 PEP,DmitryChaplin,25000,Twitter
Hope Solo,Washington,United States,Maksim Chmerkoskiy,7812880,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Ian Ziering,New Jersey,United States,Cheryl Burke,9290841,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Ilona Maher,California,United States,Alan Bersten,38965193,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Iman Shumpert,Illinois,United States,Daniella Karagach,12549689,US_State,Census 2023 PEP,DaniellaKaragach,280000,Twitter
Ingo Rademacher,,Germany,Kym Johnson,84482267,Country,World Bank 2023,KymHerjavec,280000,Twitter
J.R. Martinez,Louisiana,United States,Karina Smirnoff,4573749,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Jack Osbourne,,England,Cheryl Burke,56490048,Country,World Bank 2023,CherylBurke,450000,Twitter
Jack Wagner,Missouri,United States,Anna Trebunskaya,6196156,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Jacoby Jones,Louisiana,United States,Karina Smirnoff,4573749,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Jake Pavelka,Texas,United States,Chelsie Hightower,30503301,US_State,Census 2023 PEP,ChelsiHightower,95000,Twitter
Jake T. Austin,New York,United States,Jenna Johnson,19571216,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Jaleel White,California,United States,Kym Johnson,38965193,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
James Hinchcliffe,,Canada,Sharna Burgess,40097761,Country,World Bank 2023,SharnaBurgess,480000,Twitter
James Maslow,New York,United States,Peta Murgatroyd,19571216,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
James Van Der Beek,Connecticut,United States,Emma Slater,3617176,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Jamie Anderson,California,United States,Artem Chigvintsev,38965193,US_State,Census 2023 PEP,artemchig,280000,Twitter
Jamie Lynn Spears,Mississippi,United States,Alan Bersten,2939690,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Jana Kramer,Michigan,United States,Gleb Savchenko,10037261,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Jane Seymour,,England,Tony Dovolani,56490048,Country,World Bank 2023,TonyDovolani,180000,Twitter
Janel Parrish,Hawaii,United States,Valentin Chmerkovskiy,1435138,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Jason Lewis,California,United States,Peta Murgatroyd,38965193,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Jason Mraz,Virginia,United States,Daniella Karagach,8683619,US_State,Census 2023 PEP,DaniellaKaragach,280000,Twitter
Jason Taylor,Pennsylvania,United States,Edyta Sliwinska,12961683,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Jeannie Mai,California,United States,Brandon Armstrong,38965193,US_State,Census 2023 PEP,Brandon_DWTS,85000,Twitter
Jeffrey Ross,New Jersey,United States,Edyta Sliwinska,9290841,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Jen Affleck,Utah,United States,Jan Ravnik,3417734,US_State,Census 2023 PEP,,10000,Instagram estimate
Jenn Tran,Florida,United States,Sasha Farber,22610726,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Jennie Finch Daigle,California,United States,Keo Motsepe,38965193,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Jennie Garth,Illinois,United States,Derek Hough,12549689,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Jennifer Grey,New York,United States,Derek Hough,19571216,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Jerry Rice,Mississippi,United States,Anna Trebunskaya,2939690,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Jerry Springer,,England,Kym Johnson,56490048,Country,World Bank 2023,KymHerjavec,280000,Twitter
Jesse Metcalfe,California,United States,Sharna Burgess,38965193,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Jessie James Decker,,Italy,Alan Bersten,58761146,Country,World Bank 2023,Dance10Alan,220000,Twitter
Jimmie Allen,Delaware,United States,Emma Slater,1031890,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
JoJo Siwa,Nebraska,United States,Jenna Johnson,1978379,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Joanna Krupa,,Poland,Derek Hough,36753736,Country,World Bank 2023,daborhough,1800000,Twitter
Jodie Sweetin,California,United States,Keo Motsepe,38965193,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Joe Amabile,Illinois,United States,Jenna Johnson,12549689,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Joey Fatone,New York,United States,Kym Johnson,19571216,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
Joey Graziadei,Louisiana,United States,Jenna Johnson,4573749,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Joey Lawrence,Pennsylvania,United States,Edyta Sliwinska,12961683,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Joey McIntyre,Massachusetts,United States,Ashly DelGrosso,7001399,US_State,Census 2023 PEP,,5000,Instagram estimate
John O'Hurley,Maine,United States,Charlotte Jorgensen,1395722,US_State,Census 2023 PEP,,1000,estimate
John Ratzenberger,Connecticut,United States,Edyta Sliwinska,3617176,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
John Schneider,New York,United States,Emma Slater,19571216,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Johnny Damon,Kansas,United States,Emma Slater,2940546,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Johnny Weir,Pennsylvania,United States,Britt Stewart,12961683,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Jonathan Bennett,Ohio,United States,Allison Holker,11785935,US_State,Census 2023 PEP,Alison_Holker,450000,Twitter
Jordan Chiles,Texas,United States,Ezra Sosa,30503301,US_State,Census 2023 PEP,,25000,Instagram estimate
Jordan Fisher,Alabama,United States,Lindsay Arnold,5108468,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Jordin Sparks,Arizona,United States,Brandon Armstrong,7431344,US_State,Census 2023 PEP,Brandon_DWTS,85000,Twitter
Joseph Baena,California,United States,Daniella Karagach,38965193,US_State,Census 2023 PEP,DaniellaKaragach,280000,Twitter
Josh Norman,South Carolina,United States,Sharna Burgess,5373555,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Josie Maran,California,United States,Alec Mazo,38965193,US_State,Census 2023 PEP,AlecMazo,15000,Twitter
Juan Pablo Di Pace,,Argentina,Cheryl Burke,46654581,Country,World Bank 2023,CherylBurke,450000,Twitter
