Celebrity,Celebrity_HomeState,Celebrity_HomeCountry,Celebrity_Region,Celebrity_Population,Population_Scope,Population_Source,Ballroom_Partner,Partner_Twitter,Partner_Followers,Followers_Source
Meryl Davis,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Metta World Peace (Ron),New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Michael Bolton,Connecticut,United States,Connecticut,3617176,US_State,Census 2023 PEP - Connecticut,Chelsie Hightower,ChelsiHightower,95000,Twitter
Michael Irvin,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Anna Demidova,,15000,Instagram estimate
Michael Sam,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Michael Waltrip,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Emma Slater,EmmaSlaterDance,350000,Twitter
"Mike ""The Miz"" Mizanin",Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Witney Carson,WitneyCarson,520000,Twitter
Mike Catherwood,California,United States,California,38965193,US_State,Census 2023 PEP - California,Lacey Schwimmer,LaceySchwimmer,85000,Twitter
Milo Manheim,California,United States,California,38965193,US_State,Census 2023 PEP - California,Witney Carson,WitneyCarson,520000,Twitter
Mira Sorvino,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Mirai Nagasu,California,United States,California,38965193,US_State,Census 2023 PEP - California,Alan Bersten,Dance10Alan,220000,Twitter
Mischa Barton,,England,"Hammersmith, London",8799800,England_Region,"Greater London population, ONS 2023",Artem Chigvintsev,artemchig,280000,Twitter
Misty May-Treanor,California,United States,California,38965193,US_State,Census 2023 PEP - California,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Monica Aldama,Alabama,United States,Alabama,5108468,US_State,Census 2023 PEP - Alabama,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Monica Seles,,Yugoslavia,Novi Sad,289128,Serbia_Region,"Novi Sad city population, Statistical Office of Serbia 2022",Jonathan Roberts,,8000,Instagram estimate
Monique Coleman,South Carolina,United States,South Carolina,5373555,US_State,Census 2023 PEP - South Carolina,Louis van Amstel,LouisVanAmstel,35000,Twitter
Mr. T,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Kym Herjavec,KymHerjavec,280000,Twitter
Mya,Washington D.C.,United States,Washington D.C.,678972,US_State,Census 2023 PEP - Washington D.C.,Dmitry Chaplin,DmitryChaplin,25000,Twitter
Nancy Grace,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Tristan MacManus,TristanMacManus,75000,Twitter
Nancy Kerrigan,Massachusetts,United States,Massachusetts,7001399,US_State,Census 2023 PEP - Massachusetts,Artem Chigvintsev,artemchig,280000,Twitter
Nancy McKeon,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Nastia Liukin,,Russia,Moscow,13010112,Russia_Region,"Moscow city population, Rosstat 2023",Derek Hough,daborhough,1800000,Twitter
Natalie Coughlin,California,United States,California,38965193,US_State,Census 2023 PEP - California,Alec Mazo,AlecMazo,15000,Twitter
NeNe Leakes,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Tony Dovolani,TonyDovolani,180000,Twitter
Nelly,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Daniella Karagach,DaniellaKaragach,280000,Twitter
Nev Schulman,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Jenna Johnson,jennajohnson,680000,Twitter
Nick Carter,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Sharna Burgess,SharnaBurgess,480000,Twitter
Nick Lachey,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Nick Viall,Wisconsin,United States,Wisconsin,5910955,US_State,Census 2023 PEP - Wisconsin,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
"Nicole ""Snooki"" Polizzi",,Chile,Santiago,5614000,Chile_Region,"Santiago metropolitan population, INE Chile 2023",Sasha Farber,SashaFarber,180000,Twitter
Nicole Scherzinger,Hawaii,United States,Hawaii,1435138,US_State,Census 2023 PEP - Hawaii,Derek Hough,daborhough,1800000,Twitter
Niecy Nash,California,United States,California,38965193,US_State,Census 2023 PEP - California,Louis van Amstel,LouisVanAmstel,35000,Twitter
Nikki Bella,California,United States,California,38965193,US_State,Census 2023 PEP - California,Artem Chigvintsev,artemchig,280000,Twitter
Nikki Glaser,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Noah Galloway,Alabama,United States,Alabama,5108468,US_State,Census 2023 PEP - Alabama,Sharna Burgess,SharnaBurgess,480000,Twitter
Normani,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Nyle DiMarco,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Olivia Jade,California,United States,California,38965193,US_State,Census 2023 PEP - California,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Paige VanZant,Oregon,United States,Oregon,4233358,US_State,Census 2023 PEP - Oregon,Mark Ballas,MarkBallas,650000,Twitter
Pamela Anderson,,Canada,"Ladysmith, British Columbia",9000,Canada_Region,"Ladysmith town population, Statistics Canada 2023",Damian Whitewood,,5000,estimate
Patti LaBelle,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Artem Chigvintsev,artemchig,280000,Twitter
Paula Deen,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Louis van Amstel,LouisVanAmstel,35000,Twitter
Paulina Porizkova,,Czechoslovakia,Prostějov,42000,Czech Republic_Region,"Prostějov city population, Czech Statistical Office 2023",Alec Mazo,AlecMazo,15000,Twitter
Penn Jillette,Massachusetts,United States,Massachusetts,7001399,US_State,Census 2023 PEP - Massachusetts,Kym Johnson,KymHerjavec,280000,Twitter
Petra Nemcova,,Czechoslovakia,Karviná,50000,Czech Republic_Region,"Karviná city population, Czech Statistical Office 2023",Dmitry Chaplin,DmitryChaplin,25000,Twitter
Phaedra Parks,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Val Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Priscilla Presley,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Louis van Amstel,LouisVanAmstel,35000,Twitter
Rachel Hunter,,New Zealand,Auckland,1657200,New Zealand_Region,"Auckland region population, Stats NZ 2023",Jonathan Roberts,,8000,Instagram estimate
Ralph Macchio,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Randy Couture,Washington,United States,Washington,7812880,US_State,Census 2023 PEP - Washington,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Rashad Jennings,Virginia,United States,Virginia,8683619,US_State,Census 2023 PEP - Virginia,Emma Slater,EmmaSlaterDance,350000,Twitter
Ray Lewis,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Cheryl Burke,CherylBurke,450000,Twitter
Redfoo,California,United States,California,38965193,US_State,Census 2023 PEP - California,Emma Slater,EmmaSlaterDance,350000,Twitter
Reginald VelJohnson,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Emma Slater,EmmaSlaterDance,350000,Twitter
Rick Fox,,Canada,"Toronto, Ontario",2794356,Canada_Region,"Toronto city population, Statistics Canada 2023",Cheryl Burke,CherylBurke,450000,Twitter
Rick Perry,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Emma Slater,EmmaSlaterDance,350000,Twitter
Ricki Lake,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Derek Hough,daborhough,1800000,Twitter
Riker Lynch,Colorado,United States,Colorado,5877610,US_State,Census 2023 PEP - Colorado,Allison Holker,Alison_Holker,450000,Twitter
Rob Kardashian,California,United States,California,38965193,US_State,Census 2023 PEP - California,Cheryl Burke,CherylBurke,450000,Twitter
Robert Herjavec,,Croatia,"Zbjeg, Varaždin County",166838,Croatia_Region,"Varaždin County population, DZS Croatia 2021",Kym Johnson,KymHerjavec,280000,Twitter
Robert Irwin,,Australia,"Buderim, Queensland",358134,Australia_Region,"Sunshine Coast region population, ABS 2023",Witney Carson,WitneyCarson,520000,Twitter
Rocco DiSpirito,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Romeo,Louisiana,United States,Louisiana,4573749,US_State,Census 2023 PEP - Louisiana,Chelsie Hightower,ChelsiHightower,95000,Twitter
Roshon Fegan,California,United States,California,38965193,US_State,Census 2023 PEP - California,Chelsie Hightower,ChelsiHightower,95000,Twitter
Rumer Willis,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Ryan Lochte,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Cheryl Burke,CherylBurke,450000,Twitter
Sabrina Bryan,California,United States,California,38965193,US_State,Census 2023 PEP - California,Louis van Amstel,LouisVanAmstel,35000,Twitter
Sadie Robertson,Louisiana,United States,Louisiana,4573749,US_State,Census 2023 PEP - Louisiana,Mark Ballas,MarkBallas,650000,Twitter
Sailor Brinkley-Cook,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Sam Champion,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Cheryl Burke,CherylBurke,450000,Twitter
Sara Evans,Missouri,United States,Missouri,6196156,US_State,Census 2023 PEP - Missouri,Tony Dovolani,TonyDovolani,180000,Twitter
Sasha Pieterse,,South Africa,Johannesburg,5926668,South Africa_Region,"Johannesburg metro population, Stats SA 2022",Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Scott Hoying,California,United States,California,38965193,US_State,Census 2023 PEP - California,Rylee Arnold,ryleearnold,120000,Twitter
Sean Avery,,Canada,"North York, Ontario",2794356,Canada_Region,"Toronto city population (North York district), Statistics Canada 2023",Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Sean Lowe,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Sean Spicer,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Lindsay Arnold,lindsayarnold,380000,Twitter
Selma Blair,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Sasha Farber,SashaFarber,180000,Twitter
Shandi Finnessey,Missouri,United States,Missouri,6196156,US_State,Census 2023 PEP - Missouri,Brian Fortuna,,5000,estimate
Shangela,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Shanna Moakler,Rhode Island,United States,Rhode Island,1095962,US_State,Census 2023 PEP - Rhode Island,Jesse DeSoto,,1000,estimate
Shannen Doherty,Tennessee,United States,Tennessee,7126489,US_State,Census 2023 PEP - Tennessee,Mark Ballas,MarkBallas,650000,Twitter
Shannon Elizabeth,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Derek Hough,daborhough,1800000,Twitter
Shawn Johnson,Iowa,United States,Iowa,3207004,US_State,Census 2023 PEP - Iowa,Derek Hough,daborhough,1800000,Twitter
Sherri Sheperd,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Simone Biles,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Sasha Farber,SashaFarber,180000,Twitter
Skai Jackson,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Alan Bersten,Dance10Alan,220000,Twitter
Stacy Keibler,Maryland,United States,Maryland,6180253,US_State,Census 2023 PEP - Maryland,Tony Dovolani,TonyDovolani,180000,Twitter
Stephen Nedoroscik,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Rylee Arnold,ryleearnold,120000,Twitter
Steve Guttenberg,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Steve Wozniak,California,United States,California,38965193,US_State,Census 2023 PEP - California,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Steve-O,,England,"Wimbledon, London",8799800,England_Region,"Greater London population, ONS 2023",Lacey Schwimmer,LaceySchwimmer,85000,Twitter
Sugar Ray Leonard,North Carolina,United States,North Carolina,10835491,US_State,Census 2023 PEP - North Carolina,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Suni Lee,Minnesota,United States,Minnesota,5737915,US_State,Census 2023 PEP - Minnesota,Sasha Farber,SashaFarber,180000,Twitter
Susan Lucci,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Tony Dovolani,TonyDovolani,180000,Twitter
Suzanne Somers,California,United States,California,38965193,US_State,Census 2023 PEP - California,Tony Dovolani,TonyDovolani,180000,Twitter
Tamar Braxton,Maryland,United States,Maryland,6180253,US_State,Census 2023 PEP - Maryland,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Tatum O'Neal,California,United States,California,38965193,US_State,Census 2023 PEP - California,Nick Kosovich,,5000,estimate
Tavis Smiley,Mississippi,United States,Mississippi,2939690,US_State,Census 2023 PEP - Mississippi,Sharna Burgess,SharnaBurgess,480000,Twitter
Ted McGinley,California,United States,California,38965193,US_State,Census 2023 PEP - California,Inna Brayer,,2000,estimate
Teresa Giudice,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Pasha Pashkov,PashaPashkov,120000,Twitter
Terra Jole,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Sasha Farber,SashaFarber,180000,Twitter
Terrell Owens,Alabama,United States,Alabama,5108468,US_State,Census 2023 PEP - Alabama,Cheryl Burke,CherylBurke,450000,Twitter
The Situation,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Tia Carrere,Hawaii,United States,Hawaii,1435138,US_State,Census 2023 PEP - Hawaii,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Tinashe,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Brandon Armstrong,Brandon_DWTS,85000,Twitter
Tom DeLay,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Cheryl Burke,CherylBurke,450000,Twitter
Tommy Chong,,Canada,"Edmonton, Alberta",1010899,Canada_Region,"Edmonton city population, Statistics Canada 2023",Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Toni Braxton,Maryland,United States,Maryland,6180253,US_State,Census 2023 PEP - Maryland,Alec Mazo,AlecMazo,15000,Twitter
Tonya Harding,Oregon,United States,Oregon,4233358,US_State,Census 2023 PEP - Oregon,Sasha Farber,SashaFarber,180000,Twitter
Tori Spelling,California,United States,California,38965193,US_State,Census 2023 PEP - California,Pasha Pashkov,PashaPashkov,120000,Twitter
Trevor Donovan,California,United States,California,38965193,US_State,Census 2023 PEP - California,Emma Slater,EmmaSlaterDance,350000,Twitter
Trista Sutter,Indiana,United States,Indiana,6862199,US_State,Census 2023 PEP - Indiana,Louis van Amstel,LouisVanAmstel,35000,Twitter
Tucker Carlson,California,United States,California,38965193,US_State,Census 2023 PEP - California,Elena Grinenko,,8000,Instagram estimate
Ty Murray,Arizona,United States,Arizona,7431344,US_State,Census 2023 PEP - Arizona,Chelsie Hightower,ChelsiHightower,95000,Twitter
Tyson Beckford,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Jenna Johnson,jennajohnson,680000,Twitter
Valerie Harper,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Tristan MacManus,TristanMacManus,75000,Twitter
Vanessa Lachey,,Philippines,"Angeles City, Pampanga",462928,Philippines_Region,"Angeles City population, PSA 2020",Maksim Chmerkoskiy,MaksimC,520000,Twitter
Vanilla Ice,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Witney Carson,WitneyCarson,520000,Twitter
Veron Davis,Washington D.C.,United States,Washington D.C.,678972,US_State,Census 2023 PEP - Washington D.C.,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Victor Espinoza,,Mexico,"Tijuana, Baja California",1922523,Mexico_Region,"Tijuana municipality population, INEGI 2020",Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Victor Ortiz,Kansas,United States,Kansas,2940546,US_State,Census 2023 PEP - Kansas,Lindsay Arnold,lindsayarnold,380000,Twitter
Victoria Arlen,New Hamshire,United States,New Hamshire,1402054,US_State,Census 2023 PEP - New Hamshire,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Vinny Guadagnino,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Koko Iwasaki,,15000,Instagram estimate
Vivica A. Fox,Indiana,United States,Indiana,6862199,US_State,Census 2023 PEP - Indiana,Nick Kosovich,,5000,estimate
Von Miller,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Witney Carson,WitneyCarson,520000,Twitter
Wanya Morris,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Lindsay Arnold,lindsayarnold,380000,Twitter
Warren Sapp,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Kym Johnson,KymHerjavec,280000,Twitter
Wayne Brady,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Witney Carson,WitneyCarson,520000,Twitter
Wayne Newton,Virginia,United States,Virginia,8683619,US_State,Census 2023 PEP - Virginia,Cheryl Burke,CherylBurke,450000,Twitter
Wendy Williams,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Tony Dovolani,TonyDovolani,180000,Twitter
Whitney Leavitt,Utah,United States,Utah,3417734,US_State,Census 2023 PEP - Utah,Mark Ballas,MarkBallas,650000,Twitter
Willa Ford,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Maksim Chmerkoskiy,MaksimC,520000,Twitter
William Levy,,Cuba,"Cojímar, Havana",2106146,Cuba_Region,"Havana province population, ONEI 2022",Cheryl Burke,CherylBurke,450000,Twitter
Willow Shields,New Mexico,United States,New Mexico,2114371,US_State,Census 2023 PEP - New Mexico,Mark Ballas,MarkBallas,650000,Twitter
Wynonna Judd,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Tony Dovolani,TonyDovolani,180000,Twitter
Xochitl Gomez,California,United States,California,38965193,US_State,Census 2023 PEP - California,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Zendaya,California,United States,California,38965193,US_State,Census 2023 PEP - California,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
