Season,Variable,Rhat_max,ESS_bulk_min,Rhat_ok,ESS_ok
1,beta0,1.6272450108589198,3.4672427711442273,False,False
1,beta1,1.2068740655919745,7.9404628337714875,False,False
1,logV_w2,1.9146200806048013,3.0115198253760584,False,False
1,logV_w3,1.8533283134922334,3.0627508163042974,False,False
1,logV_w4,2.430741310566415,2.505285751479738,False,False
1,sigma,2.0801294956828995,2.7169248709306135,False,False
2,beta0,2.2914429195479014,2.58628977921487,False,False
2,beta1,2.6447835379199685,2.4459280172598508,False,False
2,logV_w1,1.5167518903075765,3.886240583837677,False,False
2,logV_w2,1.3662337263256095,9.389147298144152,False,False
2,logV_w3,1.3283303534662263,5.225257060756462,False,False
2,logV_w4,1.3898044664157252,4.678821669652138,False,False
2,logV_w5,1.3509508210570322,8.350871241549676,False,False
2,logV_w6,1.3555349660096352,5.0247850795501705,False,False
2,logV_w7,1.3444056120016588,5.511748552243678,False,False
2,sigma,2.0136207154721624,2.8405696680005756,False,False
3,beta0,2.0970975402556227,2.703676420313243,False,False
3,beta1,2.358725730065436,3.0494921481992643,False,False
3,logV_w1,1.4835184964092099,3.9506476223055147,False,False
3,logV_w2,1.5954721582417917,3.70195906185876,False,False
3,logV_w3,1.6322861948353578,3.4847955217714897,False,False
3,logV_w4,1.6568515942439077,3.3546598721673835,False,False
3,logV_w5,1.4955703218047052,4.0513370721319575,False,False
3,logV_w7,1.568546684551258,3.6100884641809454,False,False
3,logV_w8,1.5895468550987513,3.5149729453589016,False,False
3,sigma,2.2095098218678473,2.610992051835324,False,False
4,beta0,2.11122900049551,2.696167853566657,False,False
4,beta1,1.6899586568369258,3.241718026341406,False,False
4,logV_w2,1.4291461140517,4.378026131270555,False,False
4,logV_w3,1.30367629940656,5.77105238487396,False,False
4,logV_w4,1.3074603884027738,5.383470126142173,False,False
4,logV_w5,1.4847362233140997,4.079790138825757,False,False
4,logV_w6,1.354273127225441,4.961443199527933,False,False
4,logV_w7,1.3084927115532239,5.739786094581619,False,False
4,logV_w8,1.3155274753133923,5.4215578098468695,False,False
4,logV_w9,1.339185891191351,5.480575276170509,False,False
4,sigma,1.9792365925837314,2.792674101632708,False,False
5,beta0,2.2452637449500563,2.6015157441182533,False,False
5,beta1,2.2183870056579225,2.6324521271648575,False,False
5,logV_w1,2.1867513178319857,2.6487780272770065,False,False
5,logV_w2,2.2360859313565578,2.6091898122374917,False,False
5,logV_w3,2.1854810302980896,2.6381965841007218,False,False
5,logV_w4,2.1734294592034495,2.6385903960024226,False,False
5,logV_w5,2.1514438643507723,2.6649162339614847,False,False
5,logV_w6,2.1618600321175587,2.643387558203509,False,False
5,logV_w7,2.2311961966983174,2.6226591672608386,False,False
5,logV_w8,2.1305340595997437,2.6983310809086967,False,False
5,logV_w9,2.1873531380003093,2.622194709113419,False,False
5,sigma,1.5528876927437323,3.597194195210105,False,False
6,beta0,2.0434922417992047,2.873432538012728,False,False
6,beta1,2.5280094134260502,2.448214271696684,False,False
6,logV_w3,1.309253207724932,15.013259572297766,False,False
6,logV_w4,1.3013095597043893,12.416458455258303,False,False
6,logV_w5,1.2721242711472363,10.577971143630421,False,False
6,logV_w6,1.2813156218278665,7.056128618269472,False,False
6,logV_w7,1.3616998632414947,14.042153368683383,False,False
6,logV_w8,1.3540121151375668,15.380783193062515,False,False
6,logV_w9,1.2294376082670955,9.271287104697532,False,False
6,sigma,2.365637334571922,2.5570001357440852,False,False
7,beta0,2.034537495378217,2.734447509227871,False,False
7,beta1,1.683797336640368,3.395042044917304,False,False
7,logV_w2,1.3749179293729505,5.205533253099579,False,False
7,logV_w4,1.2047234760318912,8.077779740192193,False,False
7,logV_w5,1.2593465082260482,6.319654634992674,False,False
7,logV_w6,1.2228416672552354,7.476602015339066,False,False
7,logV_w7,1.297533784547799,5.985789351728987,False,False
7,logV_w8,1.3164109429033868,5.550720227464365,False,False
7,logV_w9,1.3413015281152103,5.374779072406572,False,False
7,sigma,1.9371929900846827,2.8710805750111694,False,False
8,beta0,2.253639392907926,2.5834177822074174,False,False
8,beta1,2.096199232104372,2.7667644555690027,False,False
8,logV_w2,1.1807434585983798,10.150916390713975,False,False
8,logV_w3,1.278225407867173,5.929206809806984,False,False
8,logV_w5,1.2359570505866588,7.53825120211804,False,False
8,logV_w6,1.5182940636254236,3.884824748169664,False,False
8,logV_w7,1.4724884179475268,4.276793316775766,False,False
8,logV_w8,1.3554123716782658,5.582131156909894,False,False
8,logV_w9,1.34507161953672,4.939226599251162,False,False
8,logV_w10,1.7887334571672362,3.118879646423808,False,False
8,sigma,2.1340571617725095,2.690747312913786,False,False
9,beta0,1.960948292995095,2.837290761843947,False,False
9,beta1,2.3601563397582064,2.5368457728040794,False,False
9,logV_w2,1.3392744976541122,5.183954178504161,False,False
9,logV_w3,1.4014064529737873,4.538598073520874,False,False
9,logV_w4,1.340665449272279,5.541679478447038,False,False
9,logV_w5,1.3259005514985578,5.1422990999631475,False,False
9,logV_w8,1.2789600276300699,5.5884875846189965,False,False
9,logV_w9,1.4040636150949213,4.6135938872470055,False,False
9,sigma,2.1867225319656822,2.628219256652978,False,False
10,beta0,2.1711378992623183,2.704010830446,False,False
10,beta1,2.0417832567436838,2.785504091442148,False,False
10,logV_w2,1.4463820725477181,9.44412651198668,False,False
10,logV_w3,1.4106539095412103,5.048028577651047,False,False
10,logV_w4,1.565347192248422,6.638758952301879,False,False
10,logV_w5,1.422632944823723,8.194065146986816,False,False
10,logV_w6,1.562118997573592,4.8106685227037795,False,False
10,logV_w7,1.395258203612427,7.166067834721767,False,False
10,logV_w8,1.7879160100906335,3.1391449443415373,False,False
10,logV_w9,1.5272138681166352,5.179457917215178,False,False
10,sigma,2.166326330884791,2.682086493059995,False,False
