Celebrity,State,State_Population
AJ McLean,Florida,22610726
Aaron Carter,Florida,22610726
Adam Carolla,California,38965193
Adam Rippon,Pennsylvania,12961683
Adrian Peterson,Texas,30503301
Albert Reed,Florida,22610726
Alek Skarlatos,California,38965193
Alexa PenaVega,Florida,22610726
Alexandra Raisman,Massachusetts,7001399
Alexis Ren,California,38965193
Alfonso Ribeiro,New York,19571216
Alix Earle,Florida,22610726
Ally Brooke,Texas,30503301
Alyson Hannigan,Washington D.C.,678972
Amanda Kloots,Ohio,11785935
Amber Riley,California,38965193
Amber Rose,Pennsylvania,12961683
Amy Purdy,Nevada,3194176
Andy Dick,South Carolina,5373555
Andy Grammer,California,38965193
Andy Richter,California,38965193
Anne Heche,Ohio,11785935
Antonio Brown,Florida,22610726
Apolo Anton Ohno,Washington,7812880
Ariana Madix,Florida,22610726
Arike Ogunbowale,Wisconsin,5910955
Ashley Hamiliton,California,38965193
Audrina Patridge,California,38965193
Babyface,Indiana,6862199
Barbara Corcoran,New Jersey,9290841
Baron Davis,California,38965193
Barry Williams,California,38965193
Belinda Carlisle,California,38965193
Bethany Mota,California,38965193
Betsey Johnson,Connecticut,3617176
Bill Engvall,Texas,30503301
Bill Nye,Washington D.C.,678972
Billy Dee Williams,New York,19571216
Billy Ray Cyrus,Kentucky,4526154
Bobby Bones,Arkansas,3067732
Bonner Bolton,Texas,30503301
Brandy,Mississippi,2939690
Brant Daugherty,Ohio,11785935
Brian Austin Green,California,38965193
Bristol Palin,Alaska,733406
Brooke Burke,Connecticut,3617176
Brooks Nader,New York,19571216
Buzz Aldrin,New Jersey,9290841
Calvin Johnson Jr.,Georgia,11029227
Candace Cameron Bure,California,38965193
Carlos PenaVega,Missouri,6196156
Carole Baskin,Texas,30503301
Carson Kressley,Pennsylvania,12961683
Chad Ochocinco,Florida,22610726
Chaka Khan,Illinois,12549689
Chandler Kinney,California,38965193
Charity Lawson,Georgia,11029227
Charles Oakley,Ohio,11785935
Charli D'Amelio,Connecticut,3617176
Charlie White,Michigan,10037261
Charlotte McKinney,Florida,22610726
Chaz Bono,California,38965193
Chelsea Kane,Arizona,7431344
Cheryl Ladd,South Dakota,919318
Chris Jericho,New York,19571216
Chris Kattan,California,38965193
Chris Mazdzer,Massachusetts,7001399
Chris Soules,Iowa,3207004
Chrishell Stause,Kentucky,4526154
Christina Milian,New Jersey,9290841
Chuck Liddell,California,38965193
Chuck Wicks,Delaware,1031890
Chynna Phillips,California,38965193
Cloris Leachman,Iowa,3207004
Clyde Drexler,Louisiana,4573749
Cody Linley,Texas,30503301
Cody Rigsby,California,38965193
Corbin Bleu,New York,19571216
Corey Feldman,California,38965193
D. L. Hughley,Virginia,8683619
Danelle Umstead,New Mexico,2114371
Danica McKellar,California,38965193
Daniel Durant,Michigan,10037261
Danielle Fishel,California,38965193
Danny Amendola,Texas,30503301
David Alan Grier,Michigan,10037261
David Arquette,Virginia,8683619
David Hasselhoff,Maryland,6180253
David Ross,Georgia,11029227
DeMarcus Ware,Alabama,5108468
Debbie Gibson,New York,19571216
Debi Mazar,New York,19571216
Denise Richards,Illinois,12549689
Derek Fisher,Arkansas,3067732
Diana Nyad,New York,19571216
Donald Driver,Texas,30503301
Donny Osmond,Utah,3417734
Dorothy Hamill,Illinois,12549689
Doug Flutie,Maryland,6180253
Drew Carey,Ohio,11785935
Drew Lachey,Ohio,11785935
Dwight Howard ,Georgia,11029227
Dylan Efron,California,38965193
Elaine Hendrix,Georgia,11029227
Elizabeth Berkley Lauren,Michigan,10037261
Emmitt Smith,Florida,22610726
Eric Roberts,California,38965193
Erika Jayne,Georgia,11029227
Erin Andrews,Maine,1395722
Evan Lysacek,Illinois,12549689
Evander Holyfield,Alabama,5108468
Florence Henderson,Indiana,6862199
Floyd Mayweather Jr. ,Michigan,10037261
Frankie Muniz,New Jersey,9290841
Gabby Windey,Illinois,12549689
Gary Busey,Texas,30503301
Gavin DeGraw,New York,19571216
George Hamilton,Tennessee,7126489
Geraldo Rivera,New York,19571216
Ginger Zee,California,38965193
Gladys Knight,Georgia,11029227
Hannah Brown,Alabama,5108468
Harry Hamlin,California,38965193
Hayes Grier,North Carolina,10835491
Heather Morris,California,38965193
Heidi D'Amelio,Louisiana,4573749
Hilaria Baldwin,New York,19571216
Holly Madison,Oregon,4233358
Hope Solo,Washington,7812880
Ian Ziering,New Jersey,9290841
Ilona Maher,California,38965193
Iman Shumpert,Illinois,12549689
J.R. Martinez,Louisiana,4573749
Jack Wagner,Missouri,6196156
Jacoby Jones,Louisiana,4573749
Jake Pavelka,Texas,30503301
Jake T. Austin,New York,19571216
Jaleel White,California,38965193
James Maslow,New York,19571216
James Van Der Beek,Connecticut,3617176
Jamie Anderson,California,38965193
Jamie Lynn Spears,Mississippi,2939690
Jana Kramer,Michigan,10037261
Janel Parrish,Hawaii,1435138
Jason Lewis,California,38965193
Jason Mraz,Virginia,8683619
Jason Taylor,Pennsylvania,12961683
Jeannie Mai,California,38965193
Jeffrey Ross,New Jersey,9290841
Jen Affleck,Utah,3417734
Jenn Tran,Florida,22610726
Jennie Finch Daigle,California,38965193
Jennie Garth,Illinois,12549689
Jennifer Grey,New York,19571216
Jerry Rice,Mississippi,2939690
Jesse Metcalfe,California,38965193
Jimmie Allen,Delaware,1031890
JoJo Siwa,Nebraska,1978379
Jodie Sweetin,California,38965193
Joe Amabile,Illinois,12549689
Joey Fatone,New York,19571216
Joey Graziadei,Louisiana,4573749
Joey Lawrence,Pennsylvania,12961683
Joey McIntyre,Massachusetts,7001399
John O'Hurley,Maine,1395722
John Ratzenberger,Connecticut,3617176
John Schneider,New York,19571216
Johnny Damon,Kansas,2940546
Johnny Weir,Pennsylvania,12961683
Jonathan Bennett,Ohio,11785935
Jordan Chiles,Texas,30503301
Jordan Fisher,Alabama,5108468
Jordin Sparks,Arizona,7431344
Joseph Baena,California,38965193
Josh Norman,South Carolina,5373555
Josie Maran,California,38965193
Justina Machado,Illinois,12549689
Karamo Brown,Texas,30503301
Kareem Abdul-Jabbar,New York,19571216
Kate Flannery,Pennsylvania,12961683
Kate Gosselin,Pennsylvania,12961683
Kathy Ireland,California,38965193
Kel Mitchell,Illinois,12549689
Kellie Pickler,North Carolina,10835491
Kelly Monaco,Pennsylvania,12961683
Kendra Wilkinson,California,38965193
Kenny Mayne,Washington,7812880
Kenya Moore,Michigan,10037261
Keyshawn Johnson,California,38965193
Kim Fields,New York,19571216
Kim Kardashian,California,38965193
Kim Zolciak-Biermann,Florida,22610726
Kirstie Alley,Kansas,2940546
Kristi Yamaguchi,California,38965193
Kristin Cavallari,Colorado,5877610
Kurt Warner,Iowa,3207004
Kyle Massey,Georgia,11029227
Laila Ali,Florida,22610726
Lamar Odom,New York,19571216
Lance Bass,Mississippi,2939690
Lauren Alaina,Georgia,11029227
Lauren Jauregui,Florida,22610726
Laurie Hernandez,New Jersey,9290841
Lawrence Taylor,Virginia,8683619
Lea Thompson,Minnesota,5737915
Leah Remini,New York,19571216
Leeza Gibbons,South Carolina,5373555
Lil' Kim,New York,19571216
Lindsey Stirling,California,38965193
Lisa Rinna,California,38965193
Lolo Jones,Iowa,3207004
Louie Vito,Ohio,11785935
Macy Gray,Ohio,11785935
Margaret Cho,California,38965193
Maria Menounos,Massachusetts,7001399
Marie Osmond,Utah,3417734
Marilu Henner,Illinois,12549689
Mario,Maryland,6180253
Mario Lopez,California,38965193
Marissa Jaret Winokur,New York,19571216
Mark Cuban,Pennsylvania,12961683
Mark Dacascos,Hawaii,1435138
Marla Maples,Georgia,11029227
Marlee Matlin,Illinois,12549689
Martin Kove,New York,19571216
Mary Lou Retton,West Virginia,1770071
Mary Wilson,Nevada,3194176
Master P,Louisiana,4573749
Matt James,North Carolina,10835491
Matt Walsh,Illinois,12549689
Maureen McCormick,California,38965193
Maurice Greene,Kansas,2940546
Melissa Gilbert,California,38965193
Melissa Joan Hart,New York,19571216
Melissa Rycroft,Texas,30503301
Melora Hardin,Texas,30503301
Meryl Davis,Michigan,10037261
Metta World Peace (Ron),New York,19571216
Michael Bolton,Connecticut,3617176
Michael Irvin,Florida,22610726
Michael Sam,Texas,30503301
Michael Waltrip,Kentucky,4526154
"Mike ""The Miz"" Mizanin",Ohio,11785935
Mike Catherwood,California,38965193
Milo Manheim,California,38965193
Mira Sorvino,New York,19571216
Mirai Nagasu,California,38965193
Misty May-Treanor,California,38965193
Monica Aldama,Alabama,5108468
Monique Coleman,South Carolina,5373555
Mr. T,Illinois,12549689
Mya,Washington D.C.,678972
Nancy Grace,Georgia,11029227
Nancy Kerrigan,Massachusetts,7001399
Nancy McKeon,New York,19571216
Natalie Coughlin,California,38965193
NeNe Leakes,New York,19571216
Nelly,Texas,30503301
Nev Schulman,New York,19571216
Nick Carter,New York,19571216
Nick Lachey,Kentucky,4526154
Nick Viall,Wisconsin,5910955
Nicole Scherzinger,Hawaii,1435138
Niecy Nash,California,38965193
Nikki Bella,California,38965193
Nikki Glaser,Ohio,11785935
Noah Galloway,Alabama,5108468
Normani,Georgia,11029227
Nyle DiMarco,New York,19571216
Olivia Jade,California,38965193
Paige VanZant,Oregon,4233358
Patti LaBelle,Pennsylvania,12961683
Paula Deen,Georgia,11029227
Penn Jillette,Massachusetts,7001399
Phaedra Parks,Georgia,11029227
Priscilla Presley,New York,19571216
Ralph Macchio,New York,19571216
Randy Couture,Washington,7812880
Rashad Jennings,Virginia,8683619
Ray Lewis,Florida,22610726
Redfoo,California,38965193
Reginald VelJohnson,New York,19571216
Rick Perry,Texas,30503301
Ricki Lake,New York,19571216
Riker Lynch,Colorado,5877610
Rob Kardashian,California,38965193
Rocco DiSpirito,New York,19571216
Romeo,Louisiana,4573749
Roshon Fegan,California,38965193
Rumer Willis,Kentucky,4526154
Ryan Lochte,New York,19571216
Sabrina Bryan,California,38965193
Sadie Robertson,Louisiana,4573749
Sailor Brinkley-Cook,New York,19571216
Sam Champion,Kentucky,4526154
Sara Evans,Missouri,6196156
Scott Hoying,California,38965193
Sean Lowe,Texas,30503301
Sean Spicer,New York,19571216
Selma Blair,Michigan,10037261
Shandi Finnessey,Missouri,6196156
Shangela,Texas,30503301
Shanna Moakler,Rhode Island,1095962
Shannen Doherty,Tennessee,7126489
Shannon Elizabeth,Texas,30503301
Shawn Johnson,Iowa,3207004
Sherri Sheperd,Illinois,12549689
Simone Biles,Ohio,11785935
Skai Jackson,New York,19571216
Stacy Keibler,Maryland,6180253
Stephen Nedoroscik,Florida,22610726
Steve Guttenberg,New York,19571216
Steve Wozniak,California,38965193
Sugar Ray Leonard,North Carolina,10835491
Suni Lee,Minnesota,5737915
Susan Lucci,New York,19571216
Suzanne Somers,California,38965193
Tamar Braxton,Maryland,6180253
Tatum O'Neal,California,38965193
Tavis Smiley,Mississippi,2939690
Ted McGinley,California,38965193
Teresa Giudice,New Jersey,9290841
Terra Jole,Texas,30503301
Terrell Owens,Alabama,5108468
The Situation,New York,19571216
Tia Carrere,Hawaii,1435138
Tinashe,Kentucky,4526154
Tom DeLay,Texas,30503301
Toni Braxton,Maryland,6180253
Tonya Harding,Oregon,4233358
Tori Spelling,California,38965193
Trevor Donovan,California,38965193
Trista Sutter,Indiana,6862199
Tucker Carlson,California,38965193
Ty Murray,Arizona,7431344
Tyson Beckford,New York,19571216
Valerie Harper,New York,19571216
Vanilla Ice,Texas,30503301
Veron Davis,Washington D.C.,678972
Victor Ortiz,Kansas,2940546
Victoria Arlen,New Hamshire,1402054
Vinny Guadagnino,New York,19571216
Vivica A. Fox,Indiana,6862199
Von Miller,Texas,30503301
Wanya Morris,Pennsylvania,12961683
Warren Sapp,Florida,22610726
Wayne Brady,Georgia,11029227
Wayne Newton,Virginia,8683619
Wendy Williams,New Jersey,9290841
Whitney Leavitt,Utah,3417734
Willa Ford,Florida,22610726
Willow Shields,New Mexico,2114371
Wynonna Judd,Kentucky,4526154
Xochitl Gomez,California,38965193
Zendaya,California,38965193
